,X,Y,Z
172,-1.59836,4.19775,-6.43002
173,-1.60284,4.19971,-6.43202
174,-1.60793,4.20164,-6.43462
175,-1.61366,4.20354,-6.43786
176,-1.62001,4.20538,-6.44175
177,-1.627,4.20718,-6.44627
178,-1.63462,4.20892,-6.45137
179,-1.64287,4.2106,-6.45712
180,-1.65175,4.21221,-6.46346
181,-1.66126,4.21374,-6.47037
182,-1.67139,4.2152,-6.47783
183,-1.68214,4.2166,-6.48584
184,-1.69349,4.21792,-6.49434
185,-1.70545,4.21917,-6.50332
186,-1.71799,4.22036,-6.51275
187,-1.7311,4.22149,-6.52257
188,-1.74475,4.22257,-6.53278
189,-1.75893,4.22361,-6.5433
190,-1.77361,4.22462,-6.55414
191,-1.78875,4.2256,-6.56525
192,-1.80433,4.22659,-6.57656
193,-1.82029,4.22757,-6.58806
194,-1.83659,4.22857,-6.59971
195,-1.8532,4.22959,-6.61146
196,-1.87007,4.23067,-6.62325
197,-1.88712,4.2318,-6.63507
198,-1.9043,4.23299,-6.64684
199,-1.92155,4.23427,-6.65856
200,-1.93882,4.23564,-6.67014
201,-1.95602,4.23711,-6.68157
202,-1.9731,4.23869,-6.6928
203,-1.98998,4.24038,-6.7038
204,-2.0066,4.2422,-6.71451
205,-2.02286,4.24413,-6.72492
206,-2.03871,4.24618,-6.73497
207,-2.05409,4.24835,-6.74466
208,-2.06889,4.25062,-6.75393
209,-2.08308,4.253,-6.76278
210,-2.09656,4.25547,-6.77116
211,-2.10931,4.25802,-6.77905
212,-2.12123,4.26063,-6.78645
213,-2.13228,4.26329,-6.79332
214,-2.14241,4.26599,-6.79963
215,-2.15157,4.26869,-6.8054
216,-2.15971,4.27139,-6.8106
217,-2.1668,4.27405,-6.81519
218,-2.1728,4.27668,-6.81918
219,-2.17769,4.27924,-6.82257
220,-2.18145,4.28171,-6.82536
221,-2.18406,4.28407,-6.8275
222,-2.18552,4.28632,-6.82904
223,-2.18582,4.28844,-6.82995
224,-2.18498,4.29039,-6.83023
225,-2.183,4.29218,-6.8299
226,-2.1799,4.2938,-6.82895
227,-2.17572,4.29524,-6.82742
228,-2.17048,4.2965,-6.82529
229,-2.16422,4.29754,-6.82257
230,-2.157,4.29839,-6.81933
231,-2.14887,4.29904,-6.81555
232,-2.13988,4.29949,-6.81127
233,-2.1301,4.29974,-6.80651
234,-2.11958,4.2998,-6.80133
235,-2.10843,4.29965,-6.79575
236,-2.0967,4.29933,-6.7898
237,-2.08448,4.29883,-6.78356
238,-2.07186,4.29815,-6.77705
239,-2.05893,4.2973,-6.77034
240,-2.04576,4.29631,-6.76346
241,-2.03246,4.29517,-6.75652
242,-2.0191,4.2939,-6.74951
243,-2.00579,4.2925,-6.74255
244,-1.9926,4.29098,-6.73568
245,-1.97963,4.28936,-6.72895
246,-1.96695,4.28765,-6.72245
247,-1.95466,4.28586,-6.71621
248,-1.94281,4.284,-6.71028
249,-1.93149,4.28207,-6.70474
250,-1.92075,4.2801,-6.69963
251,-1.91067,4.27808,-6.69497
252,-1.9013,4.27604,-6.69083
253,-1.89269,4.27398,-6.68722
254,-1.88486,4.2719,-6.68419
255,-1.87788,4.26983,-6.68173
256,-1.87175,4.26777,-6.67987
257,-1.86649,4.26572,-6.67863
258,-1.86213,4.26372,-6.67799
259,-1.85866,4.26175,-6.67794
260,-1.85608,4.25983,-6.67848
261,-1.85439,4.25796,-6.67958
262,-1.85357,4.25615,-6.68122
263,-1.85361,4.2544,-6.68335
264,-1.85448,4.25273,-6.68597
265,-1.85613,4.25113,-6.68902
266,-1.85855,4.24962,-6.69245
267,-1.86171,4.24818,-6.69625
268,-1.86554,4.24681,-6.70035
269,-1.87,4.24554,-6.7047
270,-1.87505,4.24436,-6.70929
271,-1.88063,4.24325,-6.71404
272,-1.88671,4.24223,-6.71894
273,-1.8932,4.24129,-6.72391
274,-1.90009,4.24043,-6.72897
275,-1.90727,4.23965,-6.73404
276,-1.91471,4.23895,-6.73909
277,-1.92236,4.23831,-6.74412
278,-1.93016,4.23774,-6.74908
279,-1.93802,4.23723,-6.75394
280,-1.94592,4.23679,-6.75868
281,-1.95378,4.23641,-6.76327
282,-1.96154,4.23609,-6.76769
283,-1.96917,4.23581,-6.77194
284,-1.97659,4.2356,-6.77596
285,-1.98375,4.23542,-6.77977
286,-1.99061,4.23528,-6.78334
287,-1.99712,4.23518,-6.78664
288,-2.00322,4.23513,-6.78966
289,-2.00889,4.2351,-6.79239
290,-2.01407,4.2351,-6.79479
291,-2.01874,4.23513,-6.79689
292,-2.02285,4.2352,-6.79865
293,-2.02637,4.23528,-6.80004
294,-2.02929,4.23538,-6.80106
295,-2.03157,4.23549,-6.80171
296,-2.03321,4.23562,-6.80197
297,-2.03417,4.23574,-6.8018
298,-2.03447,4.23587,-6.80127
299,-2.03409,4.23601,-6.80029
300,-2.03302,4.23613,-6.79891
301,-2.03128,4.23623,-6.79711
302,-2.02889,4.23632,-6.79489
303,-2.02584,4.23638,-6.79228
304,-2.02217,4.23642,-6.78926
305,-2.01789,4.23642,-6.78586
306,-2.01304,4.23639,-6.78211
307,-2.00767,4.23631,-6.77801
308,-2.0018,4.23618,-6.77361
309,-1.99546,4.23599,-6.76891
310,-1.98871,4.23575,-6.76396
311,-1.98161,4.23545,-6.7588
312,-1.9742,4.23509,-6.75347
313,-1.96652,4.23467,-6.74798
314,-1.95863,4.23419,-6.7424
315,-1.95061,4.23365,-6.73674
316,-1.94247,4.23305,-6.73105
317,-1.93429,4.23239,-6.7254
318,-1.92611,4.23169,-6.71978
319,-1.91799,4.23093,-6.71424
320,-1.90995,4.23015,-6.70882
321,-1.90208,4.22932,-6.70355
322,-1.89439,4.22847,-6.69844
323,-1.88692,4.22759,-6.69351
324,-1.87972,4.2267,-6.68883
325,-1.87281,4.22581,-6.68434
326,-1.86622,4.2249,-6.68009
327,-1.85998,4.22401,-6.67611
328,-1.8541,4.22312,-6.67235
329,-1.84861,4.22226,-6.66886
330,-1.8435,4.22142,-6.6656
331,-1.83879,4.22061,-6.66258
332,-1.83449,4.21984,-6.65979
333,-1.83058,4.2191,-6.65722
334,-1.82708,4.21841,-6.65487
335,-1.82397,4.21776,-6.65269
336,-1.82124,4.21716,-6.6507
337,-1.81888,4.2166,-6.64889
338,-1.81688,4.21609,-6.64722
339,-1.81522,4.21564,-6.64567
340,-1.81388,4.21522,-6.64427
341,-1.81286,4.21484,-6.64297
342,-1.81212,4.21452,-6.64177
343,-1.81163,4.21424,-6.64065
344,-1.81139,4.21398,-6.63962
345,-1.81136,4.21376,-6.63863
346,-1.81151,4.21357,-6.63773
347,-1.81184,4.21341,-6.63687
348,-1.8123,4.21326,-6.63607
349,-1.81285,4.21314,-6.63528
350,-1.81349,4.21302,-6.63456
351,-1.81417,4.21291,-6.63384
352,-1.81485,4.2128,-6.63316
353,-1.81551,4.2127,-6.6325
354,-1.81611,4.21259,-6.63183
355,-1.81663,4.21246,-6.63119
356,-1.81702,4.21233,-6.63053
357,-1.81724,4.21219,-6.62988
358,-1.81726,4.21201,-6.62918
359,-1.81706,4.21182,-6.62847
360,-1.81658,4.21159,-6.6277
361,-1.8158,4.21134,-6.62687
362,-1.81467,4.21105,-6.62598
363,-1.81317,4.21073,-6.62501
364,-1.81128,4.21036,-6.62396
365,-1.80894,4.20996,-6.62276
366,-1.80614,4.20951,-6.62144
367,-1.80283,4.20902,-6.62
368,-1.799,4.20849,-6.61837
369,-1.79464,4.20791,-6.61659
370,-1.78971,4.20729,-6.61463
371,-1.78418,4.20662,-6.61247
372,-1.77807,4.20591,-6.6101
373,-1.77132,4.20517,-6.60752
