,X,Y,Z
183,6.34435,3.9316,1.84526
184,6.37983,3.93088,1.86041
185,6.41378,3.93042,1.87194
186,6.44579,3.93026,1.87991
187,6.47559,3.93038,1.88419
188,6.50311,3.93075,1.88529
189,6.5279,3.93136,1.88326
190,6.54985,3.93219,1.87834
191,6.56878,3.93317,1.87106
192,6.58469,3.93425,1.86138
193,6.59739,3.93541,1.84994
194,6.60684,3.93658,1.83691
195,6.61309,3.93769,1.82281
196,6.61601,3.93872,1.8078
197,6.61581,3.93959,1.79231
198,6.6125,3.9403,1.77648
199,6.60619,3.94075,1.76037
200,6.59716,3.94092,1.74425
201,6.58525,3.94084,1.72771
202,6.57092,3.94044,1.71096
203,6.55423,3.93974,1.69369
204,6.53524,3.93875,1.67578
205,6.51419,3.9375,1.65696
206,6.49121,3.93599,1.63649
207,6.46638,3.9343,1.61451
208,6.43985,3.93246,1.59076
209,6.41185,3.93048,1.56498
210,6.3823,3.9285,1.53686
211,6.35136,3.92653,1.5067
212,6.31928,3.92461,1.47446
213,6.28598,3.92285,1.44062
214,6.25171,3.92128,1.40533
215,6.21665,3.91993,1.36921
216,6.18084,3.9189,1.3326
217,6.14448,3.91819,1.29627
218,6.10772,3.91784,1.26055
219,6.07071,3.91787,1.22649
220,6.03367,3.91827,1.19425
221,5.99663,3.91907,1.1643
222,5.95986,3.92021,1.13722
223,5.92333,3.92171,1.11315
224,5.88708,3.92347,1.09217
225,5.8512,3.92549,1.07424
226,5.81566,3.92767,1.05908
227,5.78037,3.92998,1.04652
228,5.74521,3.93232,1.036
229,5.71005,3.93464,1.02658
230,5.67472,3.93687,1.0179
231,5.63909,3.93893,1.00912
232,5.60296,3.94077,0.99944
233,5.56613,3.94237,0.988198
234,5.52877,3.94363,0.974995
235,5.4906,3.9446,0.959079
236,5.4517,3.94523,0.94023
237,5.41215,3.94555,0.917794
238,5.3722,3.94556,0.89212
239,5.33196,3.94534,0.862838
240,5.29195,3.94491,0.830304
241,5.25239,3.94435,0.79434
242,5.21374,3.94375,0.755449
243,5.17638,3.94319,0.713501
244,5.14078,3.94274,0.669261
245,5.10741,3.94247,0.622738
246,5.07648,3.94246,0.574347
247,5.04827,3.94281,0.524274
248,5.02308,3.94353,0.472864
249,5.00083,3.94468,0.420379
250,4.98176,3.94626,0.367093
251,4.96564,3.94831,0.313629
252,4.95242,3.95083,0.259916
253,4.9419,3.95384,0.206458
254,4.93399,3.95728,0.153771
255,4.92846,3.96112,0.102227
256,4.92505,3.96537,0.0521434
257,4.92351,3.96998,0.00390876
258,4.92388,3.97487,-0.0419777
259,4.92581,3.98004,-0.0853409
260,4.92923,3.98543,-0.125726
261,4.93409,3.99097,-0.163073
262,4.94014,3.99665,-0.197136
263,4.94741,4.00241,-0.227862
264,4.95589,4.00822,-0.255165
265,4.96551,4.01403,-0.278997
266,4.97626,4.01984,-0.299572
267,4.98814,4.02561,-0.31675
268,5.00127,4.03129,-0.331062
269,5.0155,4.03689,-0.342437
270,5.03098,4.04237,-0.350959
271,5.04767,4.04769,-0.357241
272,5.06555,4.05286,-0.361416
273,5.08474,4.05782,-0.363656
274,5.10506,4.06253,-0.364185
275,5.12655,4.067,-0.363706
276,5.14916,4.07119,-0.36216
277,5.1728,4.07506,-0.359794
278,5.19734,4.0786,-0.357217
279,5.22282,4.08176,-0.354316
280,5.24913,4.08449,-0.351268
281,5.27605,4.08684,-0.348384
282,5.30359,4.08872,-0.345854
283,5.33171,4.09009,-0.343266
284,5.36026,4.09099,-0.341058
285,5.38917,4.09137,-0.338681
286,5.4185,4.0912,-0.336335
287,5.44806,4.09053,-0.333612
288,5.478,4.08931,-0.330193
289,5.50811,4.08757,-0.325908
290,5.53841,4.08539,-0.320329
291,5.56902,4.08275,-0.313086
292,5.59981,4.07969,-0.303812
293,5.63088,4.07629,-0.29199
294,5.66213,4.07261,-0.277492
295,5.69376,4.06867,-0.259589
296,5.72569,4.06458,-0.238201
297,5.75795,4.06036,-0.212865
298,5.79053,4.05612,-0.183498
299,5.82366,4.05187,-0.149619
300,5.85732,4.04764,-0.111155
301,5.89149,4.0435,-0.0682636
302,5.92635,4.03944,-0.0203333
303,5.962,4.03546,0.0320095
304,5.9984,4.03161,0.0888861
305,6.03566,4.02789,0.150128
306,6.07398,4.02424,0.215388
307,6.11339,4.02068,0.284536
308,6.1539,4.01722,0.356989
309,6.19567,4.01386,0.432009
310,6.23877,4.01059,0.509517
311,6.28322,4.00742,0.588554
312,6.32922,4.00438,0.668605
313,6.37666,4.00149,0.748852
314,6.42573,3.99881,0.828605
315,6.47661,3.99631,0.907348
316,6.52918,3.9941,0.983989
317,6.58375,3.99219,1.05825
318,6.64029,3.99062,1.12946
319,6.699,3.98945,1.19689
320,6.76005,3.98868,1.26027
321,6.82355,3.98841,1.31934
322,6.8898,3.98857,1.37381
323,6.959,3.98921,1.4235
324,7.03133,3.99033,1.4685
325,7.10712,3.99186,1.50898
326,7.18668,3.99378,1.54518
327,7.27017,3.99607,1.57728
328,7.35778,3.99868,1.60584
329,7.44986,4.00154,1.631
330,7.54648,4.0046,1.65369
331,7.64791,4.0078,1.67416
332,7.75431,4.01107,1.69319
333,7.8656,4.01438,1.7111
334,7.98178,4.0177,1.72845
335,8.10304,4.02096,1.74607
336,8.22906,4.02418,1.76432
337,8.35979,4.02731,1.78373
338,8.49502,4.03034,1.8047
339,8.63447,4.03333,1.82758
340,8.77793,4.03621,1.85304
341,8.92504,4.03904,1.88111
342,9.07536,4.04184,1.9122
343,9.22855,4.04466,1.94623
344,9.38418,4.04752,1.98365
345,9.54173,4.05048,2.02421
346,9.70085,4.05356,2.06798
347,9.86119,4.05679,2.11493
348,10.0221,4.06024,2.16472
349,10.1834,4.06399,2.21724
350,10.3447,4.06807,2.27196
351,10.5056,4.07248,2.32872
352,10.6658,4.07734,2.38682
353,10.8253,4.0826,2.44607
354,10.9838,4.08834,2.50564
355,11.1412,4.09457,2.56495
356,11.2976,4.1013,2.62374
357,11.4528,4.1085,2.68118
358,11.6072,4.1162,2.73666
359,11.7605,4.12443,2.78965
360,11.9133,4.1331,2.83972
361,12.0655,4.14226,2.88633
362,12.2176,4.15187,2.92918
363,12.3697,4.1619,2.96792
364,12.5222,4.17231,3.00245
365,12.6754,4.18306,3.03254
366,12.8296,4.1941,3.05832
367,12.9852,4.20543,3.08013
368,13.1425,4.21692,3.09802
369,13.3019,4.22859,3.11263
370,13.4636,4.24035,3.12438
371,13.628,4.25217,3.13394
372,13.7954,4.26399,3.14221
373,13.9658,4.27579,3.15016
374,14.1395,4.28752,3.15829
375,14.3166,4.29918,3.16761
376,14.4971,4.31076,3.17904
377,14.681,4.3223,3.19329
378,14.8681,4.33384,3.2111
379,15.0583,4.34546,3.2327
380,15.2514,4.35718,3.25878
381,15.4469,4.36913,3.28959
382,15.6444,4.38139,3.32501
383,15.8435,4.39405,3.36496
384,16.0437,4.40712,3.40924
385,16.2442,4.42081,3.45723
386,16.4446,4.43511,3.50856
387,16.6441,4.45006,3.56238
388,16.8421,4.46567,3.61822
389,17.0379,4.48192,3.6754
390,17.2308,4.49878,3.73298
391,17.4202,4.51609,3.79056
392,17.6054,4.53383,3.84754
393,17.7861,4.55172,3.90355
394,17.9615,4.56968,3.95821
395,18.1312,4.58742,4.01117
396,18.295,4.60465,4.06258
397,18.4524,4.62112,4.11254
398,18.6032,4.63657,4.1609
399,18.7473,4.6507,4.20836
400,18.8846,4.66323,4.2549
401,19.0149,4.67393,4.30088
402,19.1382,4.68254,4.34672
403,19.2546,4.68893,4.39286
404,19.3642,4.69289,4.43969
405,19.4671,4.69437,4.48713
406,19.5636,4.69322,4.53567
407,19.6538,4.6895,4.58547
408,19.7379,4.6832,4.63669
409,19.8163,4.67447,4.68889
410,19.8891,4.66344,4.7425
411,19.9569,4.65019,4.79707
412,20.0199,4.63495,4.85281
413,20.0784,4.618,4.90919
414,20.1331,4.59947,4.96614
415,20.1842,4.57971,5.02356
416,20.2322,4.55893,5.08143
417,20.2775,4.53745,5.13928
418,20.3207,4.5155,5.19724
419,20.3623,4.49341,5.2552
420,20.4026,4.47138,5.31307
421,20.4423,4.44971,5.37082
422,20.4816,4.42867,5.42823
423,20.5213,4.40838,5.48559
424,20.5615,4.38913,5.54247
425,20.6028,4.37105,5.59909
426,20.6455,4.35432,5.65506
427,20.6901,4.339,5.71062
428,20.7369,4.32512,5.76553
429,20.7862,4.31282,5.8196
430,20.8383,4.30207,5.87313
431,20.8936,4.29278,5.92564
432,20.9523,4.28502,5.9774
433,21.0145,4.2786,6.02853
434,21.0807,4.27337,6.07904
435,21.151,4.26925,6.12947
436,21.2256,4.26609,6.17981
437,21.3047,4.26366,6.23042
438,21.3885,4.26182,6.2818
439,21.4772,4.26037,6.33418
440,21.571,4.25913,6.38821
441,21.6699,4.25791,6.44446
442,21.7742,4.25654,6.50289
443,21.8839,4.25482,6.5641
444,21.9992,4.25265,6.62836
445,22.1202,4.24984,6.69591
446,22.2469,4.2463,6.76688
447,22.3795,4.24192,6.84142
448,22.518,4.23654,6.91936
449,22.6626,4.23018,7.00084
450,22.8134,4.22266,7.08572
451,22.9705,4.21394,7.17363
452,23.1341,4.204,7.26463
453,23.3043,4.19277,7.35846
454,23.4812,4.18025,7.45475
455,23.6653,4.16635,7.55367
456,23.8566,4.15113,7.65484
457,24.0553,4.13453,7.75829
458,24.2618,4.11657,7.86392
459,24.4763,4.09731,7.9714
460,24.6988,4.07682,8.08089
461,24.9297,4.05509,8.19242
462,25.1691,4.03229,8.30576
463,25.4169,4.00849,8.42099
464,25.6735,3.98374,8.53797
465,25.9385,3.95831,8.65639
466,26.2123,3.93223,8.77656
467,26.4948,3.90561,8.89797
468,26.7857,3.87877,9.02046
469,27.085,3.85173,9.14397
470,27.3927,3.82469,9.26799
471,27.7085,3.7978,9.39268
472,28.0324,3.77125,9.51719
473,28.3641,3.74519,9.64173
474,28.7037,3.71959,9.76569
475,29.051,3.69473,9.8889
476,29.4059,3.67067,10.0111
477,29.7684,3.64741,10.1322
478,30.1384,3.62505,10.2514
479,30.5159,3.60366,10.369
480,30.9007,3.58327,10.4843
481,31.293,3.56376,10.5973
482,31.6926,3.54522,10.7077
483,32.0996,3.5275,10.8154
484,32.5139,3.51057,10.9201
485,32.9355,3.49432,11.0217
486,33.3644,3.47846,11.1204
487,33.8007,3.46295,11.2161
488,34.2442,3.44748,11.3092
489,34.6951,3.43186,11.3998
490,35.1535,3.41573,11.4885
491,35.6194,3.39889,11.5759
492,36.0928,3.38098,11.6624
493,36.5738,3.36174,11.7488
494,37.0625,3.34083,11.8357
495,37.5588,3.31798,11.9242
496,38.0628,3.29288,12.0145
497,38.5745,3.26529,12.1077
498,39.0938,3.23493,12.204
499,39.6206,3.20169,12.3042
500,40.1548,3.16542,12.4084
501,40.696,3.12594,12.5169
502,41.2442,3.08327,12.6298
503,41.7988,3.03737,12.7472
504,42.3597,2.98817,12.8686
505,42.9262,2.93587,12.9938
506,43.498,2.88037,13.1226
507,44.0746,2.82201,13.2542
508,44.6555,2.76074,13.3885
509,45.2402,2.69666,13.525
510,45.8282,2.62989,13.6628
511,46.4189,2.56075,13.8018
512,47.012,2.48904,13.9414
513,47.6069,2.41504,14.0815
514,48.2033,2.33873,14.2214
515,48.8006,2.2602,14.3612
516,49.3985,2.17943,14.5004
517,49.9968,2.09643,14.6391
518,50.595,2.01125,14.7772
519,51.193,1.92378,14.9143
520,51.7904,1.83408,15.0507
521,52.3872,1.74199,15.1862
522,52.9831,1.64762,15.321
523,53.5779,1.55099,15.4548
524,54.1715,1.45202,15.5877
525,54.764,1.35074,15.7197
526,55.3549,1.24749,15.8507
527,55.9444,1.14209,15.9809
528,56.5322,1.03495,16.1098
529,57.1183,0.926168,16.2379
530,57.7027,0.815925,16.3649
531,58.2851,0.704512,16.4909
532,58.8655,0.59222,16.6158
533,59.4436,0.479372,16.7399
534,60.0193,0.366164,16.8631
535,60.5924,0.252968,16.9854
536,61.1625,0.140129,17.1069
537,61.7296,0.0277686,17.2277
538,62.2933,-0.0838212,17.3478
539,62.8532,-0.194282,17.467
540,63.409,-0.303504,17.5855
541,63.9604,-0.411344,17.7029
542,64.507,-0.517485,17.8193
543,65.0482,-0.621795,17.9346
544,65.5839,-0.724324,18.0483
545,66.1134,-0.824714,18.1606
546,66.6363,-0.922891,18.2709
547,67.1521,-1.01883,18.3793
548,67.6602,-1.11221,18.4852
549,68.1603,-1.20306,18.5884
550,68.6519,-1.29127,18.689
551,69.1343,-1.37658,18.7864
552,69.6071,-1.45881,18.8805
553,70.0698,-1.53785,18.9712
554,70.522,-1.61364,19.0583
555,70.9631,-1.68595,19.1416
556,71.3928,-1.75467,19.2211
557,71.8108,-1.81976,19.2966
558,72.2164,-1.88098,19.3682
559,72.6096,-1.93832,19.4359
560,72.9899,-1.99175,19.4995
561,73.357,-2.04129,19.5593
562,73.7108,-2.08694,19.6151
563,74.0509,-2.12861,19.6674
564,74.3773,-2.16644,19.7163
565,74.6896,-2.20039,19.7619
566,74.9879,-2.23068,19.8047
567,75.2721,-2.25741,19.8448
568,75.542,-2.28063,19.8826
569,75.7976,-2.30048,19.9184
570,76.0388,-2.31722,19.9524
571,76.2657,-2.33101,19.985
572,76.4783,-2.342,20.0164
573,76.6764,-2.35035,20.0466
574,76.8604,-2.35643,20.0759
575,77.03,-2.36036,20.1046
576,77.1855,-2.36234,20.1322
577,77.3268,-2.36281,20.159
578,77.454,-2.36191,20.1849
579,77.5673,-2.3599,20.2098
580,77.6666,-2.35714,20.2334
581,77.7521,-2.35396,20.2555
582,77.8239,-2.35054,20.2761
583,77.8821,-2.34737,20.2948
584,77.9268,-2.34466,20.3115
585,77.9581,-2.34269,20.326
586,77.976,-2.34188,20.3383
587,77.9808,-2.34247,20.3482
588,77.9724,-2.3447,20.3556
589,77.9509,-2.34881,20.3606
590,77.9163,-2.35502,20.3632
591,77.8686,-2.3635,20.3637
592,77.8079,-2.3744,20.3619
593,77.7339,-2.38749,20.3581
594,77.6466,-2.40293,20.3524
595,77.5458,-2.42052,20.3451
596,77.4311,-2.43993,20.3365
597,77.3023,-2.46093,20.3265
598,77.159,-2.48292,20.3154
599,77.0006,-2.50549,20.3036
600,76.8268,-2.52801,20.291
601,76.6368,-2.54978,20.2779
602,76.4301,-2.56997,20.2645
603,76.2058,-2.58775,20.251
604,75.9635,-2.60228,20.2377
605,75.7022,-2.61271,20.2248
606,75.4213,-2.61812,20.2122
607,75.12,-2.61744,20.2006
608,74.7977,-2.61002,20.1899
609,74.4537,-2.59492,20.1808
610,74.0874,-2.57128,20.1732
611,73.6983,-2.53841,20.1677
612,73.2858,-2.49562,20.1645
613,72.8499,-2.44252,20.1641
614,72.39,-2.37831,20.1664
615,71.9064,-2.30295,20.1721
616,71.3988,-2.21606,20.181
617,70.8673,-2.11744,20.1935
618,70.3124,-2.00744,20.2096
619,69.7343,-1.88581,20.2296
620,69.1336,-1.75326,20.2533
621,68.5108,-1.60999,20.2806
622,67.8665,-1.45678,20.3112
623,67.2015,-1.2942,20.3452
624,66.5166,-1.1232,20.382
625,65.8124,-0.944533,20.4211
626,65.0898,-0.759305,20.4619
627,64.3496,-0.568709,20.5039
628,63.5925,-0.373734,20.5461
629,62.8192,-0.17557,20.5877
