,X
0,1.6438810344624906
1,3.651989116346283
2,5.650964143277861
3,6.889933279594107
4,8.096929945901945
5,9.293647855235612
6,10.472910847079241
7,11.618366233819742
8,12.689217637386218
9,13.724998998340169
10,14.723447326611677
11,15.75605343933142
12,16.815531925428516
13,17.804814295162096
14,18.699694678340332
15,19.474564290364622
16,20.10629679286594
17,20.63953914366443
18,21.07160695127194
19,21.495445805890526
20,21.94944008561994
21,22.48012397791539
22,22.99580639665203
23,23.527247716728446
24,23.9842963481682
25,24.4591638748971
26,24.965264026983775
27,25.399194915398127
28,25.853306181125518
29,26.253791804078112
30,26.578589434737367
31,26.920246896117334
32,27.304009131986682
33,27.64256284379956
34,27.912142072031507
35,28.22870184126979
36,28.54034188366662
37,28.831585756497006
38,29.12542740951306
39,29.44272136234008
40,29.708578564670027
41,30.00512079124678
42,30.276500330541964
43,30.55684501237642
44,30.843095542542706
45,31.177789918868037
46,31.463727134148
47,31.73411517550354
48,32.009615777393314
49,32.227243429352406
50,32.471758869329804
51,32.67182496681357
52,32.8791406694178
53,33.05855504860848
54,33.250340287814126
55,33.41669222526758
56,33.57083751824838
57,33.705430224932336
58,33.800983227790184
59,33.89977711251606
60,33.97869361539967
61,34.08147293761655
62,34.15597978032668
63,34.22270183198499
64,34.25576998842485
65,34.255508735382485
66,34.25850930874954
67,34.24848719303455
68,34.26533398648109
69,34.27019538269228
70,34.22744989318549
71,34.249231154720256
72,34.226775818884335
73,34.18977292128825
74,34.16435754959298
75,34.16243666775911
76,34.17367619379407
77,34.16755363507646
78,34.12687007577891
79,34.111502689265194
80,34.110281891016285
81,34.115007570265185
82,34.20205967975496
83,34.2782159978097
84,34.38049228730114
85,34.49769228010655
86,34.58338475616751
87,34.64630764595202
88,34.69056186922077
89,34.71054288018288
90,34.69456744221053
91,34.71622075334276
92,34.722753619843914
93,34.69194028118003
94,34.65380412874603
95,34.60711072867068
96,34.48284716224585
97,34.3531997045949
98,34.237985313852576
99,34.10708311213945
100,33.92968278530541
101,33.79693855656662
102,33.716268850239395
103,33.65579821979046
104,33.61148852259909
105,33.607772478713684
106,33.62626963187871
107,33.712762466492805
108,33.812789763581854
109,33.85870334076238
110,33.85327899393123
111,33.87555023181659
112,33.87645226340277
113,33.842403262811516
114,33.697230241423576
