,X,Y,Z
175,1.56733,1.94848,-0.938988
176,1.61648,1.93971,-0.891917
177,1.66655,1.93062,-0.846777
178,1.71825,1.92117,-0.803571
179,1.772,1.9113,-0.762639
180,1.82867,1.90094,-0.72379
181,1.88904,1.89002,-0.686927
182,1.95405,1.87849,-0.652051
183,2.02482,1.86628,-0.618971
184,2.10239,1.85334,-0.586974
185,2.1882,1.83961,-0.55567
186,2.28324,1.82505,-0.524635
187,2.38915,1.80963,-0.493204
188,2.50728,1.79329,-0.460352
189,2.63903,1.77603,-0.425521
190,2.78596,1.75781,-0.387583
191,2.94956,1.73861,-0.345747
192,3.13117,1.71842,-0.298974
193,3.33205,1.69724,-0.246267
194,3.55368,1.67504,-0.186789
195,3.79701,1.65184,-0.119846
196,4.06312,1.62765,-0.0444511
197,4.35259,1.60248,0.0396142
198,4.66638,1.57631,0.133378
199,5.0045,1.54923,0.236519
200,5.36722,1.52122,0.349558
201,5.7545,1.49236,0.472285
202,6.16583,1.46267,0.604444
203,6.6008,1.43224,0.745652
204,7.05841,1.40113,0.895661
205,7.53758,1.3694,1.05343
206,8.03702,1.33722,1.21852
207,8.55515,1.30469,1.38986
208,9.09023,1.27193,1.56683
209,9.64058,1.23908,1.74826
210,10.2039,1.20636,1.93322
211,10.7783,1.17391,2.12054
212,11.3615,1.14197,2.30934
213,11.9515,1.1107,2.49868
214,12.5461,1.08033,2.68703
215,13.1433,1.05106,2.87368
216,13.741,1.02307,3.05761
217,14.3375,0.996565,3.23748
218,14.9313,0.971691,3.41276
219,15.5209,0.94861,3.58222
220,16.1052,0.927395,3.74528
221,16.6832,0.908138,3.90117
222,17.2544,0.890867,4.04931
223,17.8185,0.875509,4.18987
224,18.3753,0.862015,4.32245
225,18.9253,0.850237,4.44707
226,19.4687,0.840026,4.56437
227,20.0065,0.831104,4.67479
228,20.5395,0.823211,4.77909
229,21.0688,0.815966,4.87833
230,21.5958,0.809027,4.97373
231,22.1218,0.801964,5.06639
232,22.6482,0.794431,5.15775
233,23.1765,0.78589,5.24908
234,23.7082,0.775947,5.3417
235,24.2446,0.76412,5.43726
236,24.7868,0.75007,5.53668
237,25.3362,0.733441,5.64125
238,25.8938,0.713813,5.75189
239,26.4603,0.690991,5.86942
240,27.0362,0.664813,5.99468
241,27.6221,0.635057,6.12839
242,28.218,0.601762,6.27079
243,28.8241,0.56493,6.42205
244,29.44,0.524601,6.58278
245,30.0653,0.481032,6.75282
246,30.6993,0.434502,6.93211
247,31.3411,0.385323,7.12058
248,31.99,0.33382,7.31811
249,32.6444,0.280515,7.52425
250,33.3033,0.225841,7.73883
251,33.9652,0.170205,7.96142
252,34.6286,0.114267,8.19159
253,35.2921,0.0583388,8.42848
254,35.954,0.00289798,8.67151
255,36.6128,-0.051508,8.92011
256,37.2672,-0.104684,9.17334
257,37.9155,-0.156225,9.43041
258,38.5564,-0.205959,9.69023
259,39.1887,-0.253648,9.95201
260,39.8112,-0.299259,10.2147
261,40.4229,-0.342827,10.4775
262,41.0229,-0.384292,10.7395
263,41.6103,-0.423804,10.9999
264,42.1846,-0.461617,11.2582
265,42.7452,-0.49785,11.5135
266,43.2919,-0.532841,11.7657
267,43.8243,-0.566891,12.0142
268,44.3424,-0.600226,12.2586
269,44.8462,-0.633162,12.4988
270,45.3357,-0.666062,12.7345
271,45.8112,-0.699184,12.9654
272,46.2728,-0.732667,13.1912
273,46.721,-0.766798,13.4118
274,47.1561,-0.801784,13.6269
275,47.5786,-0.837618,13.8359
276,47.9889,-0.874569,14.0387
277,48.3875,-0.912552,14.2349
278,48.7749,-0.951555,14.424
279,49.1517,-0.991626,14.6059
280,49.5185,-1.03269,14.7801
281,49.8758,-1.07462,14.9467
282,50.2244,-1.11723,15.1054
283,50.5647,-1.1605,15.2561
284,50.8975,-1.20418,15.3992
285,51.2232,-1.2482,15.5348
286,51.5426,-1.29241,15.6634
287,51.8562,-1.33658,15.7852
288,52.1646,-1.38068,15.9011
289,52.4683,-1.42452,16.0118
290,52.7679,-1.46794,16.1179
291,53.0638,-1.51095,16.2204
292,53.3563,-1.55352,16.3201
293,53.6458,-1.59535,16.4178
294,53.9325,-1.63659,16.5145
295,54.2166,-1.67725,16.6107
296,54.4981,-1.71713,16.7072
297,54.777,-1.75633,16.8046
298,55.0531,-1.79492,16.9033
299,55.3262,-1.83276,17.0037
300,55.5961,-1.86993,17.106
301,55.8624,-1.90657,17.2104
302,56.1247,-1.94246,17.3169
303,56.3824,-1.97781,17.4254
304,56.6352,-2.01259,17.5358
305,56.8824,-2.04685,17.6481
306,57.1236,-2.08047,17.762
307,57.3583,-2.11366,17.8775
308,57.5859,-2.14626,17.9941
309,57.8061,-2.17838,18.1119
310,58.0184,-2.20988,18.2307
311,58.2224,-2.24086,18.3506
312,58.4179,-2.27122,18.4713
313,58.6047,-2.30096,18.5932
314,58.7826,-2.3301,18.7162
315,58.9514,-2.35856,18.8406
316,59.1113,-2.3863,18.9667
317,59.2624,-2.41341,19.0946
318,59.4046,-2.43965,19.2249
319,59.5382,-2.46515,19.3577
320,59.6637,-2.48988,19.4937
321,59.7812,-2.51383,19.633
322,59.8912,-2.53678,19.7762
323,59.994,-2.55885,19.9235
324,60.0901,-2.58003,20.0752
325,60.1798,-2.60018,20.2312
326,60.2635,-2.61939,20.3919
327,60.3414,-2.63761,20.5572
328,60.4138,-2.65499,20.7268
329,60.4806,-2.67153,20.9006
330,60.5419,-2.68718,21.078
331,60.5974,-2.70235,21.2587
332,60.6468,-2.71711,21.442
333,60.6894,-2.73171,21.6277
334,60.7245,-2.74617,21.8148
335,60.7512,-2.76093,22.0029
336,60.7683,-2.77605,22.1913
337,60.7743,-2.79162,22.3795
338,60.7681,-2.80796,22.567
339,60.748,-2.825,22.7532
340,60.7121,-2.84277,22.9377
341,60.6586,-2.8612,23.1197
342,60.5858,-2.88018,23.2989
343,60.4916,-2.89944,23.4746
344,60.3741,-2.91855,23.6461
345,60.231,-2.93713,23.8126
346,60.0606,-2.95477,23.9734
347,59.8607,-2.97082,24.1274
348,59.6293,-2.98482,24.2739
349,59.3644,-2.99607,24.4119
350,59.064,-3.00391,24.5404
351,58.726,-3.00781,24.6583
352,58.3485,-3.00706,24.7648
353,57.9294,-3.00114,24.8588
354,57.4667,-2.98932,24.9394
355,56.9582,-2.97107,25.0057
356,56.402,-2.94567,25.0566
357,55.796,-2.91269,25.091
358,55.1379,-2.87142,25.108
359,54.4255,-2.82111,25.106
360,53.6569,-2.76123,25.0837
361,52.83,-2.69101,25.0393
362,51.9427,-2.60975,24.9706
363,50.9932,-2.51679,24.8755
364,49.9798,-2.41146,24.751
365,48.901,-2.29313,24.5941
366,47.7556,-2.16151,24.4014
367,46.5428,-2.01614,24.1688
368,45.262,-1.85713,23.8926
369,43.9132,-1.68475,23.5681
370,42.497,-1.49936,23.191
371,41.0145,-1.30213,22.7566
372,39.4675,-1.09425,22.2607
373,37.8587,-0.877491,21.6992
374,36.1916,-0.653933,21.0687
375,34.4706,-0.426077,20.3665
376,32.7014,-0.196696,19.5909
377,30.8907,0.0313946,18.7416
378,29.0463,0.254927,17.8203
379,27.1777,0.470894,16.8303
380,25.2953,0.67635,15.7772
381,23.4108,0.868602,14.6687
382,21.5373,1.04533,13.5155
383,19.6888,1.20472,12.3307
384,17.88,1.34557,11.1291
385,16.1262,1.46729,9.92773
386,14.4428,1.57001,8.74528
387,12.845,1.65451,7.60071
388,11.3469,1.72205,6.51312
389,9.96161,1.77441,5.50102
390,8.70052,1.81355,4.58127
391,7.57278,1.84156,3.76806
392,6.58517,1.86049,3.07321
393,5.74154,1.87213,2.50482
394,5.04322,1.87797,2.06718
395,4.48869,1.87908,1.76167
396,4.07332,1.8762,1.58522
397,3.79043,1.8697,1.53201
398,3.63074,1.85972,1.59336
399,3.58317,1.84617,1.75756
400,3.6351,1.82899,2.01166
401,3.77249,1.80808,2.34102
402,3.98072,1.7835,2.73003
403,4.24473,1.75551,3.16305
404,4.54944,1.7245,3.62428
405,4.88015,1.69113,4.09853
406,5.22307,1.65616,4.57189
407,5.56533,1.62056,5.03141
408,5.89542,1.5853,5.46617
409,6.20352,1.5514,5.86659
410,6.4812,1.51984,6.22529
411,6.72217,1.49141,6.53678
412,6.92141,1.46691,6.79713
413,7.07616,1.44685,7.00452
414,7.18486,1.43162,7.15832
415,7.24772,1.42142,7.25959
416,7.26624,1.41625,7.31009
417,7.24298,1.41604,7.31279
418,7.18143,1.4205,7.27139
419,7.08588,1.42933,7.19007
420,6.96096,1.44207,7.07342
421,6.81177,1.45823,6.92606
422,6.64332,1.47728,6.75297
423,6.46062,1.49866,6.55892
424,6.26851,1.52175,6.34875
425,6.07125,1.54602,6.12678
426,5.8729,1.57085,5.89727
427,5.67686,1.59571,5.66429
428,5.48598,1.62006,5.43119
429,5.30263,1.64343,5.20118
430,5.12873,1.66536,4.97714
431,4.96544,1.68553,4.76123
432,4.8138,1.70358,4.55586
433,4.67433,1.7193,4.36248
434,4.5472,1.73251,4.18262
435,4.43251,1.74309,4.0172
436,4.32976,1.75104,3.86713
437,4.23876,1.75639,3.73252
438,4.15891,1.75922,3.61363
439,4.08973,1.75967,3.51021
440,4.03054,1.75794,3.42158
441,3.98063,1.75425,3.34698
442,3.93929,1.74889,3.2849
443,3.90592,1.74208,3.23432
444,3.87957,1.73418,3.19323
445,3.85963,1.72541,3.15974
446,3.84515,1.71611,3.13199
447,3.8355,1.70648,3.10792
448,3.82975,1.69682,3.08563
449,3.82708,1.68729,3.06317
450,3.82674,1.6781,3.03886
451,3.82796,1.66936,3.01163
452,3.83015,1.66118,2.98002
453,3.83262,1.6536,2.94377
454,3.83495,1.64663,2.90224
