,X,Y,Z
179,9.98925,5.14306,2.63483
180,10.4981,5.13159,2.86301
181,11.0229,5.12234,3.09027
182,11.5628,5.11642,3.31127
183,12.117,5.11506,3.52065
184,12.6844,5.1196,3.71331
185,13.2643,5.13129,3.88514
186,13.8559,5.15139,4.03282
187,14.4587,5.18103,4.15418
188,15.0723,5.22115,4.24849
189,15.6968,5.27245,4.31638
190,16.3322,5.33528,4.3601
191,16.9791,5.40964,4.3831
192,17.6378,5.49519,4.39019
193,18.3091,5.59107,4.38688
194,18.9932,5.69614,4.37943
195,19.6907,5.80889,4.37421
196,20.4017,5.9275,4.37781
197,21.1263,6.04982,4.39648
198,21.8639,6.17358,4.43575
199,22.6139,6.29631,4.50054
200,23.3748,6.41554,4.59439
201,24.1448,6.52878,4.71959
202,24.9218,6.63362,4.87669
203,25.7027,6.72787,5.06473
204,26.4842,6.80964,5.28075
205,27.2621,6.87743,5.5199
206,28.0319,6.9303,5.77549
207,28.7884,6.96779,6.03911
208,29.526,6.99009,6.30105
209,30.2388,6.99817,6.55065
210,30.9206,6.99341,6.77725
211,31.5656,6.97789,6.97085
212,32.1682,6.95417,7.12304
213,32.7233,6.92508,7.22804
214,33.2271,6.89355,7.28326
215,33.6764,6.86258,7.28941
216,34.0694,6.835,7.25084
217,34.4053,6.81335,7.17492
218,34.6845,6.79972,7.07121
219,34.9082,6.79574,6.95129
220,35.0785,6.80258,6.82705
221,35.1979,6.82081,6.71062
222,35.2693,6.85058,6.61311
223,35.2958,6.89158,6.54378
224,35.2802,6.9432,6.50942
225,35.2252,7.00449,6.51386
226,35.1332,7.0742,6.55813
227,35.0058,7.15103,6.64
228,34.8447,7.23328,6.75456
229,34.651,7.31937,6.89426
230,34.4253,7.40745,7.0495
231,34.1683,7.49581,7.20953
232,33.8801,7.58274,7.36255
233,33.5612,7.66652,7.49717
234,33.2117,7.74567,7.60269
235,32.8322,7.81871,7.66971
236,32.4235,7.88437,7.69105
237,31.9865,7.94152,7.66169
238,31.5225,7.98927,7.57885
239,31.0334,8.02692,7.44233
240,30.5207,8.05409,7.25396
241,29.9866,8.07051,7.01749
242,29.4331,8.0762,6.73837
243,28.8621,8.07147,6.42322
244,28.2758,8.05677,6.07957
245,27.6759,8.03284,5.71548
246,27.064,8.00053,5.33934
247,26.4414,7.96086,4.95946
248,25.8095,7.91491,4.58348
249,25.169,7.86382,4.21853
250,24.5205,7.8086,3.87064
251,23.8644,7.7502,3.54471
252,23.2007,7.68938,3.24406
253,22.5292,7.62659,2.9705
254,21.8498,7.56205,2.7244
255,21.1619,7.49577,2.50443
256,20.4652,7.42741,2.30823
257,19.7591,7.35649,2.13198
258,19.0433,7.28244,1.97085
259,18.3172,7.20457,1.81967
260,17.5804,7.12228,1.67255
261,16.8329,7.03496,1.52416
262,16.0744,6.94216,1.36957
263,15.3048,6.84363,1.20441
264,14.5245,6.73923,1.02559
265,13.7338,6.62904,0.83113
266,12.933,6.51332,0.620128
267,12.1228,6.3926,0.392758
268,11.3038,6.26751,0.150192
269,10.4766,6.13891,-0.105849
270,9.64211,6.00771,-0.373343
271,8.80106,5.87495,-0.650024
272,7.95447,5.74161,-0.933912
273,7.10347,5.60875,-1.22336
274,6.24954,5.47721,-1.51724
275,5.39451,5.34778,-1.81469
276,4.54061,5.22102,-2.11534
277,3.69053,5.09731,-2.41881
278,2.84746,4.97686,-2.72463
279,2.01505,4.85973,-3.03212
280,1.19748,4.74588,-3.34015
281,0.39932,4.63525,-3.64704
282,-0.374634,4.52777,-3.95052
283,-1.11928,4.42344,-4.24787
284,-1.82934,4.32236,-4.53564
285,-2.49965,4.22476,-4.81036
286,-3.12516,4.13099,-5.06821
287,-3.70106,4.04156,-5.30561
288,-4.22314,3.95712,-5.51968
289,-4.68767,3.87846,-5.70814
290,-5.0917,3.80641,-5.86968
291,-5.43306,3.74188,-6.00397
292,-5.71036,3.68569,-6.11147
293,-5.92305,3.63864,-6.19346
294,-6.07143,3.60135,-6.25168
295,-6.15656,3.57425,-6.28824
296,-6.18024,3.55757,-6.30532
297,-6.14506,3.55129,-6.3054
298,-6.05434,3.55512,-6.29078
299,-5.91226,3.56855,-6.26375
300,-5.72378,3.59083,-6.227
301,-5.49468,3.62098,-6.183
302,-5.23152,3.65793,-6.13461
303,-4.94175,3.70042,-6.08484
304,-4.63355,3.74713,-6.03691
305,-4.31564,3.79668,-5.994
306,-3.99715,3.84767,-5.95952
307,-3.68733,3.89867,-5.93596
308,-3.39523,3.9483,-5.92536
309,-3.12932,3.99518,-5.92823
310,-2.89705,4.03802,-5.9436
311,-2.70448,4.07571,-5.96854
312,-2.55593,4.10727,-5.99813
313,-2.45359,4.1321,-6.02539
314,-2.39728,4.14989,-6.04156
315,-2.38444,4.1608,-6.03721
316,-2.41008,4.1654,-6.00217
317,-2.46721,4.16473,-5.9278
318,-2.54731,4.16019,-5.80769
319,-2.64088,4.15346,-5.63906
320,-2.73852,4.14638,-5.42425
321,-2.83134,4.14076,-5.17041
322,-2.91216,4.13823,-4.89006
323,-2.97539,4.14018,-4.59928
324,-3.01765,4.1476,-4.31643
325,-3.03762,4.16108,-4.06025
326,-3.03563,4.18084,-3.84733
327,-3.01347,4.20678,-3.69059
328,-2.97357,4.23856,-3.59764
329,-2.91875,4.27568,-3.57039
330,-2.85175,4.31759,-3.60449
331,-2.77492,4.3637,-3.69045
332,-2.69009,4.4135,-3.81417
333,-2.59859,4.46645,-3.95907
334,-2.50119,4.5221,-4.10708
335,-2.39841,4.57996,-4.24065
336,-2.29064,4.6395,-4.34424
337,-2.1782,4.70021,-4.40541
338,-2.06167,4.76147,-4.41599
339,-1.94212,4.82263,-4.37279
340,-1.82092,4.883,-4.27765
341,-1.69992,4.94183,-4.13721
342,-1.5815,4.99837,-3.96249
343,-1.46822,5.05189,-3.76783
344,-1.36291,5.10168,-3.56953
345,-1.26842,5.14713,-3.3847
346,-1.18735,5.18774,-3.22919
347,-1.12193,5.22311,-3.11677
348,-1.07368,5.25305,-3.05695
349,-1.04343,5.27746,-3.05515
350,-1.03113,5.29645,-3.11162
351,-1.03592,5.3103,-3.22203
352,-1.05638,5.31942,-3.37809
353,-1.09051,5.32434,-3.56852
354,-1.13583,5.32575,-3.78001
355,-1.18975,5.32441,-3.99917
356,-1.2496,5.32113,-4.21311
357,-1.31305,5.31671,-4.41128
358,-1.37789,5.31192,-4.58579
359,-1.44239,5.30746,-4.7323
360,-1.5051,5.30388,-4.84933
361,-1.56506,5.30162,-4.93868
362,-1.6216,5.30095,-5.00424
363,-1.6744,5.30204,-5.05156
364,-1.72344,5.30489,-5.08678
365,-1.76866,5.30944,-5.11572
366,-1.8103,5.31552,-5.14351
367,-1.8486,5.3229,-5.17416
368,-1.88363,5.33131,-5.20978
369,-1.91545,5.34047,-5.25109
370,-1.94405,5.35004,-5.29731
371,-1.96931,5.35967,-5.34673
372,-1.99107,5.36902,-5.39658
373,-2.0091,5.37773,-5.44413
374,-2.02329,5.38542,-5.48679
375,-2.03355,5.39181,-5.52255
376,-2.03987,5.39655,-5.5502
377,-2.04232,5.39944,-5.56951
378,-2.04111,5.40023,-5.58099
379,-2.03645,5.39878,-5.58592
380,-2.02874,5.395,-5.58644
381,-2.01834,5.38885,-5.58481
382,-2.00575,5.38037,-5.58349
383,-1.9914,5.36967,-5.58484
384,-1.97576,5.35692,-5.59066
385,-1.95922,5.3424,-5.60252
386,-1.94216,5.32633,-5.62123
387,-1.92492,5.30906,-5.64707
388,-1.90768,5.29088,-5.67972
389,-1.89073,5.27212,-5.71841
390,-1.8741,5.25311,-5.76149
391,-1.85789,5.23409,-5.80734
392,-1.84213,5.21536,-5.85401
393,-1.8267,5.19713,-5.89924
394,-1.81173,5.17956,-5.9412
395,-1.7971,5.1628,-5.97819
396,-1.783,5.14698,-6.00912
397,-1.76955,5.13216,-6.03348
398,-1.75709,5.11842,-6.05156
399,-1.74594,5.10578,-6.06442
400,-1.73644,5.09427,-6.07363
401,-1.72887,5.08384,-6.08096
402,-1.72354,5.0744,-6.08876
403,-1.72053,5.06588,-6.09921
404,-1.71984,5.05816,-6.11446
405,-1.72124,5.05114,-6.13638
406,-1.72428,5.04471,-6.16656
407,-1.72819,5.03878,-6.20594
408,-1.73193,5.0333,-6.25509
409,-1.73424,5.02818,-6.31407
410,-1.73346,5.02344,-6.38212
411,-1.72771,5.01912,-6.45823
412,-1.71475,5.01532,-6.54071
413,-1.69218,5.01223,-6.62738
414,-1.65752,5.01007,-6.71577
415,-1.60795,5.00911,-6.80277
416,-1.5408,5.00967,-6.88548
417,-1.45339,5.01208,-6.96074
418,-1.34321,5.01667,-7.02569
419,-1.20796,5.02377,-7.07816
420,-1.04572,5.03371,-7.11656
421,-0.854908,5.04669,-7.14014
422,-0.634372,5.06291,-7.14924
423,-0.383374,5.08256,-7.14516
424,-0.101636,5.10579,-7.12994
425,0.210664,5.13277,-7.10663
426,0.553112,5.16374,-7.07848
427,0.924952,5.19901,-7.04895
428,1.32539,5.23892,-7.02084
429,1.75339,5.2839,-6.99669
430,2.20803,5.33443,-6.9777
431,2.68824,5.39105,-6.96448
432,3.19299,5.4543,-6.95626
433,3.72129,5.52473,-6.95138
434,4.27219,5.60281,-6.94677
435,4.8447,5.68892,-6.93865
436,5.43814,5.78324,-6.92208
437,6.05159,5.88574,-6.89182
438,6.68433,5.99614,-6.84226
439,7.3356,6.11392,-6.76785
440,8.00439,6.23822,-6.66371
441,8.68961,6.36792,-6.52593
442,9.38981,6.50163,-6.35215
443,10.1032,6.63765,-6.14153
444,10.8276,6.77406,-5.89482
445,11.5602,6.90884,-5.61487
446,12.2978,7.03981,-5.30587
447,13.0362,7.16482,-4.97353
448,13.7709,7.28194,-4.62432
449,14.4963,7.3893,-4.2653
450,15.2066,7.48543,-3.90342
451,15.895,7.5692,-3.54525
452,16.5545,7.63984,-3.19646
453,17.1781,7.69694,-2.86146
454,17.7585,7.74048,-2.54316
455,18.2889,7.77068,-2.24274
456,18.7632,7.78799,-1.95988
457,19.176,7.79301,-1.69256
458,19.523,7.78644,-1.43779
459,19.801,7.76886,-1.19163
460,20.008,7.74089,-0.950227
461,20.1433,7.70303,-0.71003
462,20.2073,7.65566,-0.468525
463,20.2014,7.59907,-0.224636
464,20.128,7.53354,0.0208044
465,19.9902,7.45933,0.265314
466,19.7916,7.3768,0.504735
467,19.536,7.28649,0.733654
468,19.2279,7.18912,0.946138
469,18.8715,7.08564,1.13618
470,18.4713,6.97734,1.29845
471,18.032,6.86569,1.42877
472,17.5581,6.7524,1.52452
473,17.0541,6.6393,1.58479
474,16.5245,6.52824,1.61083
475,15.9738,6.42107,1.60558
476,15.4067,6.31938,1.57392
477,14.8278,6.22453,1.52175
478,14.2416,6.1375,1.45525
479,13.6529,6.05885,1.38083
480,13.066,5.98876,1.30366
481,12.4852,5.92693,1.22782
482,11.9146,5.87275,1.15585
483,11.3578,5.82526,1.08855
484,10.8185,5.78326,1.02561
485,10.2996,5.74555,0.965255
486,9.80407,5.71078,0.905215
487,9.33417,5.67777,0.843032
488,8.89219,5.6455,0.776631
489,8.47987,5.61316,0.704516
490,8.09879,5.58022,0.62646
491,7.75033,5.54644,0.543429
492,7.43543,5.51184,0.457748
493,7.15518,5.47661,0.373316
494,6.91022,5.44116,0.29457
495,6.70118,5.40605,0.226622
496,6.52845,5.37191,0.174816
497,6.39232,5.33939,0.143855
498,6.29281,5.30917,0.137666
499,6.22987,5.28182,0.158976
500,6.20323,5.25783,0.209205
501,6.21232,5.23766,0.287814
502,6.25624,5.22155,0.39251
503,6.33363,5.20976,0.519299
504,6.44261,5.20237,0.662196
505,6.58076,5.19944,0.813862
506,6.74484,5.20096,0.965979
507,6.9311,5.20687,1.10984
508,7.1353,5.21705,1.23716
509,7.35292,5.2313,1.34096
510,7.57918,5.24946,1.41605
511,7.80989,5.27125,1.46017
512,8.04112,5.29635,1.47375
513,8.27005,5.32436,1.46029
514,8.49475,5.35487,1.42602
515,8.71458,5.38733,1.37894
516,8.92994,5.42118,1.32809
517,9.14234,5.45582,1.28289
518,9.35415,5.4906,1.25205
519,9.5683,5.52492,1.24285
520,9.78802,5.55822,1.26051
521,10.0167,5.59004,1.30819
522,10.2574,5.61999,1.38645
523,10.5128,5.64786,1.49359
524,10.7852,5.67361,1.62614
525,11.0763,5.69739,1.77955
526,11.387,5.71958,1.94841
527,11.718,5.74078,2.12771
528,12.0694,5.76185,2.31271
529,12.4408,5.78383,2.49982
530,12.8315,5.80795,2.68653
531,13.2409,5.83553,2.87146
532,13.6681,5.86797,3.05454
533,14.1121,5.90655,3.23621
534,14.5721,5.95248,3.41748
535,15.0473,6.00674,3.5991
536,15.5366,6.07001,3.78139
537,16.0395,6.14265,3.96396
538,16.555,6.22464,4.14576
539,17.0823,6.31557,4.3249
540,17.6209,6.41468,4.49911
541,18.1698,6.52087,4.66611
542,18.7287,6.63284,4.82405
543,19.2972,6.74893,4.97219
544,19.8752,6.86736,5.11086
545,20.4629,6.98629,5.24172
546,21.0607,7.10379,5.36775
547,21.6691,7.21804,5.49298
548,22.2885,7.32727,5.62199
549,22.9197,7.42991,5.75969
550,23.5629,7.52463,5.91038
551,24.2186,7.61035,6.07782
552,24.8869,7.68626,6.26477
553,25.5676,7.75188,6.47255
554,26.2605,7.80705,6.70145
555,26.965,7.852,6.95042
556,27.6802,7.88722,7.21722
557,28.4053,7.91354,7.4988
558,29.139,7.93219,7.79119
559,29.8801,7.94441,8.09003
560,30.627,7.95172,8.39094
561,31.3784,7.95569,8.68929
562,32.1326,7.95785,8.98074
563,32.8883,7.95961,9.26165
564,33.6441,7.96215,9.5288
565,34.3986,7.9665,9.7799
566,35.1509,7.97333,10.0135
567,35.9,7.98289,10.2295
568,36.6453,7.99518,10.4285
569,37.3864,8.00985,10.6121
570,38.1231,8.02627,10.7831
571,38.8554,8.0435,10.9444
572,39.5835,8.06054,11.0994
573,40.3077,8.0763,11.252
574,41.0284,8.08948,11.4055
